"DS1IVK.Code.or.Value","DS1IVK.Value.Description","DS1IVK.Count","DS1IVK.Cumulative","DS1IVK.Skip.to.Item"
"0.825 to 400","Range of Values",1143,1143,NA
".","Missing",4763,5906,NA
