"WBXP095.Code.or.Value","WBXP095.Value.Description","WBXP095.Count","WBXP095.Cumulative","WBXP095.Skip.to.Item"
"-172.0111 to 179.1997","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
