"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 4.183","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
