"DR1IZINC.Code.or.Value","DR1IZINC.Value.Description","DR1IZINC.Count","DR1IZINC.Cumulative","DR1IZINC.Skip.to.Item"
"0 to 66.02","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
