"FFQ0084A.Code.or.Value","FFQ0084A.Value.Description","FFQ0084A.Count","FFQ0084A.Cumulative","FFQ0084A.Skip.to.Item"
1,"Almost never or never",1179,1179,NA
2,"About 1/4 of the time",1483,2662,NA
3,"About 1/2 of the time",1537,4199,NA
4,"About 3/4 of the time",748,4947,NA
5,"Almost always or always",1060,6007,NA
88,"Blank",461,6468,NA
99,"Error",4,6472,NA
