"DSD010AN.Code.or.Value","DSD010AN.Value.Description","DSD010AN.Count","DSD010AN.Cumulative","DSD010AN.Skip.to.Item"
"1","Yes",631,631,NA
"2","No",9541,10172,NA
"7","Refused",1,10173,NA
"9","Don't know",2,10175,NA
".","Missing",0,10175,NA
