"VIXKRMM.Code.or.Value","VIXKRMM.Value.Description","VIXKRMM.Count","VIXKRMM.Cumulative","VIXKRMM.Skip.to.Item"
"6.42 to 9.38","Range of Values",6969,6969,NA
"88","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
