"DED071.Code.or.Value","DED071.Value.Description","DED071.Count","DED071.Cumulative","DED071.Skip.to.Item"
"1","Yes",251,251,NA
"2","No",203,454,NA
"7","Refused",0,454,NA
"9","Don't know",0,454,NA
".","Missing",3085,3539,NA
