"PAD020.Code.or.Value","PAD020.Value.Description","PAD020.Count","PAD020.Cumulative","PAD020.Skip.to.Item"
"1","Yes",2188,2188,""
"2","No",4792,6980,"PAQ100"
"3","Unable to do activity",211,7191,"PAQ100"
"7","Refused",5,7196,"PAQ100"
"9","Don't know",2,7198,"PAQ100"
".","Missing",1990,9188,""
