"DR2TVK.Code.or.Value","DR2TVK.Value.Description","DR2TVK.Count","DR2TVK.Cumulative","DR2TVK.Skip.to.Item"
"0 to 2688.2","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
