"LBXVBZ.Code.or.Value","LBXVBZ.Value.Description","LBXVBZ.Count","LBXVBZ.Cumulative","LBXVBZ.Skip.to.Item"
"0.017 to 1.3","Range of Values",837,837,NA
".","Missing",612,1449,NA
