"LBDMFOSL.Code.or.Value","LBDMFOSL.Value.Description","LBDMFOSL.Count","LBDMFOSL.Cumulative","LBDMFOSL.Skip.to.Item"
"0","At or above the detection limit",1913,1913,NA
"1","Below lower detection limit",16,1929,NA
".","Missing",204,2133,NA
