"DS2ILZ.Code.or.Value","DS2ILZ.Value.Description","DS2ILZ.Count","DS2ILZ.Cumulative","DS2ILZ.Skip.to.Item"
"5 to 95475","Range of Values",407,407,NA
".","Missing",5119,5526,NA
