"LBXVEC.Code.or.Value","LBXVEC.Value.Description","LBXVEC.Count","LBXVEC.Cumulative","LBXVEC.Skip.to.Item"
"0.032 to 0.617","Range of Values",2782,2782,NA
".","Missing",390,3172,NA
