"CBD635.Code.or.Value","CBD635.Value.Description","CBD635.Count","CBD635.Cumulative","CBD635.Skip.to.Item"
"0 to 300","Range of Values",3352,3352,NA
"77777777","Refused",1,3353,NA
"99999999","Don't know",495,3848,NA
".","Missing",2551,6399,NA
