"LBDRBFSI.Code.or.Value","LBDRBFSI.Value.Description","LBDRBFSI.Count","LBDRBFSI.Cumulative","LBDRBFSI.Skip.to.Item"
"63.4 to 5327.3","Range of Values",7614,7614,NA
".","Missing",1218,8832,NA
