"WBXA091.Code.or.Value","WBXA091.Value.Description","WBXA091.Count","WBXA091.Cumulative","WBXA091.Skip.to.Item"
"-3.7924 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
