"SSII4NC1.Code.or.Value","SSII4NC1.Value.Description","SSII4NC1.Count","SSII4NC1.Cumulative","SSII4NC1.Skip.to.Item"
"0 to 100000","Range of Values",921,921,NA
".","Missing",25,946,NA
