"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 1.55","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
