"DSQTIODI.Code.or.Value","DSQTIODI.Value.Description","DSQTIODI.Count","DSQTIODI.Cumulative","DSQTIODI.Skip.to.Item"
"0.67 to 10416.67","Range of Values",1904,1904,NA
".","Missing",8271,10175,NA
