"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 110","Range of Values",4299,4299,NA
"666","No response",1,4300,NA
"888","Could not obtain",23,4323,NA
".","Missing",259,4582,NA
