"DS1ICOPP.Code.or.Value","DS1ICOPP.Value.Description","DS1ICOPP.Count","DS1ICOPP.Cumulative","DS1ICOPP.Skip.to.Item"
"0.00374 to 10","Range of Values",1463,1463,NA
".","Missing",4443,5906,NA
