"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 24","Range of Values",551,551,NA
"0","None",11,562,NA
"7777","Refused",0,562,NA
"9999","Don't know",3,565,NA
".","Missing",9205,9770,NA
