"CBD070.Code.or.Value","CBD070.Value.Description","CBD070.Count","CBD070.Cumulative","CBD070.Skip.to.Item"
"0 to 5142","Range of Values",9525,9525,NA
"777777","Refused",15,9540,NA
"999999","Don't know",165,9705,NA
".","Missing",51,9756,NA
