"LBCBR3.Code.or.Value","LBCBR3.Value.Description","LBCBR3.Count","LBCBR3.Cumulative","LBCBR3.Skip.to.Item"
"37.7 to 1036.1","Range of Values",264,264,NA
".","Missing",0,264,NA
