"LBDFERSI.Code.or.Value","LBDFERSI.Value.Description","LBDFERSI.Count","LBDFERSI.Cumulative","LBDFERSI.Skip.to.Item"
"1 to 3234","Range of Values",8807,8807,NA
".","Missing",1122,9929,NA
