"BPXDI1.Code.or.Value","BPXDI1.Value.Description","BPXDI1.Count","BPXDI1.Cumulative","BPXDI1.Skip.to.Item"
"0 to 134","Range of Values",7529,7529,NA
".","Missing",2724,10253,NA
