"DXXPT17X.Code.or.Value","DXXPT17X.Value.Description","DXXPT17X.Count","DXXPT17X.Cumulative","DXXPT17X.Skip.to.Item"
"690.4 to 1222.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
