"MCQ117Q.Code.or.Value","MCQ117Q.Value.Description","MCQ117Q.Count","MCQ117Q.Cumulative","MCQ117Q.Skip.to.Item"
"1 to 33","Range of Values",423,423,""
"77777","Refused",0,423,"MCQ120A"
"99999","Don't know",9,432,"MCQ120A"
".","Missing",10038,10470,""
