"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 8.567","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
