"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1339,1339,NA
"2","No",338,1677,NA
"7","Refused",0,1677,NA
"9","Don't know",4,1681,NA
".","Missing",4953,6634,NA
