"DSQTFIBE.Code.or.Value","DSQTFIBE.Value.Description","DSQTFIBE.Count","DSQTFIBE.Cumulative","DSQTFIBE.Skip.to.Item"
"0 to 66","Range of Values",161,161,NA
".","Missing",9988,10149,NA
