"LBDLYCSI.Code.or.Value","LBDLYCSI.Value.Description","LBDLYCSI.Count","LBDLYCSI.Cumulative","LBDLYCSI.Skip.to.Item"
"0.015 to 1.487","Range of Values",8336,8336,NA
"0.011","Fill Value of Limit of Detection",12,8348,NA
".","Missing",914,9262,NA
