"LBXS18MK.Code.or.Value","LBXS18MK.Value.Description","LBXS18MK.Count","LBXS18MK.Cumulative","LBXS18MK.Skip.to.Item"
"1","Positive",145,145,NA
"2","Negative",3147,3292,NA
".","Missing",261,3553,NA
