"LBXHA.Code.or.Value","LBXHA.Value.Description","LBXHA.Count","LBXHA.Cumulative","LBXHA.Skip.to.Item"
"1","Positive",3227,3227,NA
"2","Negative",4769,7996,NA
".","Missing",1098,9094,NA
