"SPXBFEV6.Code.or.Value","SPXBFEV6.Value.Description","SPXBFEV6.Count","SPXBFEV6.Cumulative","SPXBFEV6.Skip.to.Item"
"1131 to 7226","Range of Values",496,496,NA
".","Missing",7699,8195,NA
