"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2598,2598,NA
"1","Below lower detection limit",7,2605,NA
".","Missing",92,2697,NA
