"WBXA090.Code.or.Value","WBXA090.Value.Description","WBXA090.Count","WBXA090.Cumulative","WBXA090.Skip.to.Item"
"-15.4917 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
