"RFXC167.Code.or.Value","RFXC167.Value.Description","RFXC167.Count","RFXC167.Cumulative","RFXC167.Skip.to.Item"
"-7.386 to 0.809","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
