"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"76 to 222","Range of Values",1179,1179,NA
".","Missing",8771,9950,NA
