"LBCGHCLA.Code.or.Value","LBCGHCLA.Value.Description","LBCGHCLA.Count","LBCGHCLA.Cumulative","LBCGHCLA.Skip.to.Item"
"0.3748 to 2.192","Range of Values",301,301,NA
".","Missing",0,301,NA
