"DR1TM181.Code.or.Value","DR1TM181.Value.Description","DR1TM181.Count","DR1TM181.Cumulative","DR1TM181.Skip.to.Item"
"0.052 to 199.373","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
