"DR2IMAGN.Code.or.Value","DR2IMAGN.Value.Description","DR2IMAGN.Count","DR2IMAGN.Cumulative","DR2IMAGN.Skip.to.Item"
"0 to 1235","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
