"URDFLOW2.Code.or.Value","URDFLOW2.Value.Description","URDFLOW2.Count","URDFLOW2.Cumulative","URDFLOW2.Skip.to.Item"
"0 to 76","Range of Values",1464,1464,NA
".","Missing",7144,8608,NA
