"OHQ136.Code.or.Value","OHQ136.Value.Description","OHQ136.Count","OHQ136.Cumulative","OHQ136.Skip.to.Item"
"1","Yes",40,40,NA
"2","No",404,444,NA
"7","Refused",0,444,NA
"9","Don't know",0,444,NA
".","Missing",9154,9598,NA
