"URXOMO.Code.or.Value","URXOMO.Value.Description","URXOMO.Count","URXOMO.Cumulative","URXOMO.Skip.to.Item"
"0.07 to 0.07","Range of Values",2455,2455,NA
".","Missing",157,2612,NA
