"SPQ030.Code.or.Value","SPQ030.Value.Description","SPQ030.Count","SPQ030.Cumulative","SPQ030.Skip.to.Item"
"1","Yes",36,36,"SPAENA"
"2","No",552,588,""
"7","Refused",0,588,"SPAENA"
"9","Don't know",1,589,"SPAENA"
".","Missing",7154,7743,""
