"RHQ602U.Code.or.Value","RHQ602U.Value.Description","RHQ602U.Count","RHQ602U.Cumulative","RHQ602U.Skip.to.Item"
"1","Months",4,4,NA
"2","Years",4,8,NA
"7","Refused",0,8,NA
"9","Don't know",0,8,NA
".","Missing",3556,3564,NA
