"DMDHRBR2.Code.or.Value","DMDHRBR2.Value.Description","DMDHRBR2.Count","DMDHRBR2.Cumulative","DMDHRBR2.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",7257,7257,NA
"2","Born in Mexico",1458,8715,NA
"4","Born in Other Spanish Speaking Country",731,9446,NA
"5","Born in Other Non-Spanish Speaking Country",811,10257,NA
"7","Refused",2,10259,NA
"9","Don't know",1,10260,NA
".","Missing",277,10537,NA
