"PAQ724o.Code.or.Value","PAQ724o.Value.Description","PAQ724o.Count","PAQ724o.Cumulative","PAQ724o.Skip.to.Item"
"15","LACROSSE",7,7,NA
".","Missing",9477,9484,NA
