"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"72 to 712","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
