"DR2ISUGR.Code.or.Value","DR2ISUGR.Value.Description","DR2ISUGR.Count","DR2ISUGR.Cumulative","DR2ISUGR.Skip.to.Item"
"0 to 502.52","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
