"VIQ051C.Code.or.Value","VIQ051C.Value.Description","VIQ051C.Count","VIQ051C.Cumulative","VIQ051C.Skip.to.Item"
"1","No difficulty",4003,4003,NA
"2","A little difficulty",559,4562,NA
"3","Moderate difficulty",198,4760,NA
"4","Extreme difficulty",97,4857,NA
"5","Unable to do because of eyesight",26,4883,NA
"6","Does not do this for other reasons",92,4975,NA
"77","Refused",0,4975,NA
"99","Don't know",3,4978,NA
".","Missing",2289,7267,NA
