"HUQ090.Code.or.Value","HUQ090.Value.Description","HUQ090.Count","HUQ090.Cumulative","HUQ090.Skip.to.Item"
"1","Yes",652,652,NA
"2","No",8229,8881,NA
"7","Refused",1,8882,NA
"9","Don't know",7,8889,NA
".","Missing",1459,10348,NA
