"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"70 to 600","Range of Values",5994,5994,NA
"7777","Refused",4,5998,NA
"9999","Don't know",91,6089,NA
".","Missing",50,6139,NA
