"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",578,578,""
"2","Less, or",4099,4677,""
"3","Stay about the same?",2205,6882,"WHD050"
"7","Refused",1,6883,"WHD050"
"9","Don't know",6,6889,"WHD050"
".","Missing",0,6889,""
