"MCQ300a.Code.or.Value","MCQ300a.Value.Description","MCQ300a.Count","MCQ300a.Cumulative","MCQ300a.Skip.to.Item"
"1","Yes",687,687,NA
"2","No",4882,5569,NA
"7","Refused",1,5570,NA
"9","Don't know",149,5719,NA
".","Missing",3856,9575,NA
