"TYXA017.Code.or.Value","TYXA017.Value.Description","TYXA017.Count","TYXA017.Cumulative","TYXA017.Skip.to.Item"
"0.252 to 6.604","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
