"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",2126,2126,NA
"1","Below lower detection limit",501,2627,NA
".","Missing",93,2720,NA
