"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"0.003 to 5000","Range of Values",1957,1957,NA
".","Missing",3641,5598,NA
