"ALQ150.Code.or.Value","ALQ150.Value.Description","ALQ150.Count","ALQ150.Cumulative","ALQ150.Skip.to.Item"
"1","Yes",663,663,NA
"2","No",2851,3514,NA
"7","Refused",1,3515,NA
"9","Don't know",4,3519,NA
".","Missing",925,4444,NA
