"DR2IKCAL.Code.or.Value","DR2IKCAL.Value.Description","DR2IKCAL.Count","DR2IKCAL.Cumulative","DR2IKCAL.Skip.to.Item"
"0 to 4100","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
