"DS1TVB1.Code.or.Value","DS1TVB1.Value.Description","DS1TVB1.Count","DS1TVB1.Cumulative","DS1TVB1.Skip.to.Item"
"0.013 to 251.5","Range of Values",1099,1099,NA
".","Missing",8445,9544,NA
