"BIXS177K.Code.or.Value","BIXS177K.Value.Description","BIXS177K.Count","BIXS177K.Cumulative","BIXS177K.Skip.to.Item"
"75.9 to 861.14","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
